,Crime,Thriller,Fantasy,Horror,Sci-Fi,Comedy,Documentary,Adventure,Film-Noir,Animation,Romance,Drama,Western,Musical,Action,Mystery,War,Children's,total
1138,4,16,6,13,12,21,0,15,0,4,15,41,0,5,16,2,2,8,180
1139,22,40,2,2,12,55,3,12,2,5,33,97,2,3,36,12,9,6,353
1140,19,55,4,85,66,82,3,37,11,12,35,122,34,16,76,12,38,12,719
1141,17,57,24,12,52,213,1,69,4,35,91,137,6,45,71,18,17,75,944
1142,28,69,6,26,18,117,0,19,2,25,33,82,4,14,47,17,7,27,541
1143,4,6,3,1,7,15,1,7,0,0,8,23,2,4,11,2,5,2,101
1144,0,5,1,0,5,8,0,4,0,0,0,9,0,1,10,0,3,0,46
1145,2,5,2,11,8,15,1,6,0,2,8,31,2,3,4,1,5,4,110
1146,37,241,2,149,59,47,0,30,5,0,27,69,1,4,95,31,4,1,802
1147,25,74,5,27,38,75,16,17,16,9,34,144,5,13,27,16,25,9,575
1148,3,1,3,1,1,57,0,4,0,3,11,15,2,1,4,0,0,3,109
1149,5,15,6,7,20,27,0,43,1,6,12,27,1,2,41,2,4,5,224
1150,115,246,12,41,74,490,41,67,25,31,174,599,16,79,155,83,49,45,2342
1151,34,82,13,30,74,120,1,44,4,2,55,86,4,0,127,20,24,8,728
1152,10,28,18,15,44,32,0,74,1,12,10,30,2,5,71,1,7,29,389
1153,3,16,0,8,7,31,0,4,1,4,13,22,1,0,11,2,1,3,127
1154,2,7,0,2,4,8,1,0,0,2,3,8,0,1,1,3,1,2,45
1155,29,53,2,7,44,39,2,43,1,2,14,55,4,1,129,6,17,1,449
1156,1,6,1,0,2,46,0,4,1,1,55,22,1,1,6,1,3,2,153
1157,2,9,0,0,5,8,0,3,0,0,4,8,0,0,11,0,2,0,52
1158,3,3,3,0,3,33,0,3,0,7,44,28,0,9,5,0,3,9,153
1159,7,38,9,12,102,22,0,40,2,1,4,17,2,1,68,5,7,7,344
1160,4,24,1,16,16,38,0,8,1,10,8,29,1,1,18,3,2,10,190
1161,9,16,1,17,12,35,0,10,3,2,9,33,3,2,12,4,5,2,175
1162,16,35,3,1,7,35,0,10,8,1,55,100,3,5,18,9,19,6,331
1163,3,33,0,4,13,23,0,14,0,0,7,8,0,0,43,4,3,0,155
1164,24,64,6,5,12,143,0,10,5,4,166,283,2,8,28,17,13,7,797
1165,7,27,8,16,47,45,0,23,4,11,10,37,2,4,40,3,9,17,310
1166,0,6,0,2,6,9,0,4,1,0,5,8,0,2,10,1,3,0,57
1167,4,9,3,0,7,28,0,6,1,1,17,39,1,0,9,1,5,3,134
1168,12,25,4,4,28,157,1,22,0,5,56,72,3,5,46,5,8,6,459
1169,4,3,3,5,8,115,2,7,0,4,19,25,5,11,8,1,6,13,239
1170,10,42,1,14,23,87,0,14,7,1,72,119,11,12,24,14,21,1,473
1171,1,6,1,1,6,7,0,3,0,4,1,10,0,0,8,1,1,4,54
1172,19,58,8,41,29,194,1,35,4,3,144,188,5,11,62,16,22,12,852
1173,23,62,4,11,19,183,2,16,1,4,72,154,1,6,66,8,12,8,652
1174,1,9,0,2,1,12,0,1,0,0,2,8,1,0,4,1,0,0,42
1175,1,6,0,0,2,37,0,5,0,0,65,31,1,1,6,0,5,0,160
1176,9,10,14,7,39,43,0,37,2,1,15,36,5,5,50,2,14,6,295
1177,8,14,0,3,8,41,0,7,0,8,18,34,2,2,13,0,6,6,170
1178,3,14,0,1,2,10,0,3,2,0,8,12,6,0,4,23,1,1,90
1179,19,52,9,19,100,85,0,44,7,6,17,49,3,6,103,8,21,9,557
1180,5,8,1,0,5,7,0,5,3,0,3,15,1,3,7,7,7,0,77
1181,113,280,35,83,163,469,21,159,31,38,189,597,47,48,340,66,98,67,2844
1182,35,65,8,22,91,111,1,54,10,19,39,131,8,24,102,17,25,26,788
1183,10,27,6,12,43,101,0,22,9,3,22,60,2,7,32,11,15,5,387
1184,15,33,18,7,35,173,0,63,0,7,91,68,3,6,87,1,15,29,651
1185,2,16,2,2,9,42,0,5,1,9,10,29,2,4,12,3,4,17,169
1186,6,45,7,71,67,67,1,18,5,1,11,28,7,8,40,11,8,4,405
1187,0,3,2,0,5,15,0,1,0,4,11,9,1,4,3,0,2,6,66
1188,4,9,1,1,9,3,0,12,0,1,5,12,1,0,27,0,5,1,91
1189,3,4,1,0,0,8,1,2,2,1,20,13,0,0,4,1,2,0,62
1190,1,2,2,0,7,10,0,13,0,1,13,8,1,1,11,0,2,0,72
1191,13,32,1,26,11,21,0,5,29,1,39,29,0,4,9,13,6,0,239
1192,3,3,0,0,2,10,1,4,0,2,4,15,1,1,4,0,2,3,55
1193,19,64,6,10,27,152,0,30,1,15,49,65,6,12,102,6,19,16,599
1194,56,98,20,16,45,262,10,68,5,5,108,309,6,10,125,27,30,24,1224
1195,2,24,1,51,6,24,0,4,1,6,7,17,1,4,12,5,0,6,171
1196,8,11,2,4,7,38,1,7,1,5,20,63,2,4,15,2,9,13,212
1197,6,15,0,2,3,6,0,0,3,0,2,10,0,0,1,4,0,0,52
1198,3,19,4,8,18,39,0,12,0,14,6,20,1,5,34,3,7,20,213
1199,13,43,3,2,21,73,1,22,4,6,41,69,5,2,45,9,8,8,375
1200,3,15,0,4,7,5,0,1,0,0,1,14,0,1,7,1,2,0,61
1201,3,14,6,6,14,29,0,9,1,5,6,16,2,1,15,2,1,6,136
1202,46,116,17,30,125,171,2,89,7,5,75,178,11,7,165,22,42,14,1122
1203,58,140,23,37,82,228,7,63,10,29,134,341,11,17,140,25,35,47,1427
1204,3,28,4,20,24,52,1,23,3,11,11,36,2,5,32,2,6,16,279
1205,0,2,0,0,1,34,0,1,0,5,28,58,0,1,0,1,4,5,140
1206,4,42,7,28,136,18,1,40,0,4,7,15,1,1,70,6,9,4,393
1207,44,174,20,118,100,194,0,82,4,28,88,177,10,43,162,27,34,49,1354
1208,1,10,1,6,6,17,0,3,1,0,2,22,1,2,6,3,1,1,83
1209,9,35,14,22,34,72,1,36,4,4,25,83,4,3,64,18,10,9,447
1210,3,9,1,3,24,9,0,10,0,0,4,6,2,0,29,0,6,0,106
1211,43,70,7,22,56,115,7,32,15,5,48,191,22,11,72,17,40,11,784
1212,41,26,0,19,5,12,0,2,7,0,7,28,0,0,13,8,0,0,168
1213,1,6,0,2,2,7,0,2,1,0,5,11,1,0,3,3,3,1,48
1214,0,3,3,2,7,9,0,17,1,1,3,7,21,1,9,1,1,9,95
1215,8,25,10,9,88,19,0,32,3,8,5,26,0,1,46,3,9,10,302
1216,30,41,3,14,34,46,1,41,13,4,14,63,21,4,98,10,36,6,479
1217,2,6,1,2,8,25,0,9,0,3,5,16,3,7,23,1,5,7,123
1218,16,45,3,6,34,59,1,23,17,3,45,117,8,8,55,19,23,9,491
1219,33,96,7,15,62,39,0,53,5,12,22,38,3,5,151,13,13,15,582
1220,8,24,15,4,25,107,0,44,1,11,25,36,7,11,57,3,18,52,448
1221,9,20,16,11,74,152,0,44,0,6,24,27,1,3,58,3,14,27,489
1222,2,27,1,6,17,23,0,5,0,4,6,25,0,2,14,4,1,3,140
1223,8,27,2,8,15,83,2,11,8,6,15,41,1,3,18,10,11,3,272
1224,42,85,12,20,46,182,4,63,12,16,82,292,18,22,93,25,42,23,1079
1225,8,3,0,0,0,11,0,0,1,0,4,16,0,0,2,1,4,3,53
1226,1,4,0,1,1,8,0,0,0,2,0,11,0,2,0,0,0,2,32
1227,15,16,0,2,1,41,7,1,3,1,27,105,0,4,6,6,9,2,246
1228,27,53,4,7,32,64,8,29,5,11,29,120,4,3,85,12,22,8,523
1229,2,5,1,0,2,5,1,1,0,0,0,23,0,0,2,0,2,4,48
1230,16,58,12,26,102,83,1,62,3,15,20,47,2,7,100,6,8,28,596
1231,15,27,2,6,16,23,1,9,4,4,12,52,0,0,31,7,8,6,223
1232,5,6,3,4,3,88,2,4,0,3,23,69,1,3,7,0,7,6,234
1233,0,16,4,7,24,15,2,10,1,4,6,18,1,3,17,4,4,6,142
1234,1,7,1,1,7,6,1,5,6,0,4,6,0,0,8,2,3,0,58
1235,5,8,0,0,2,8,0,0,0,0,18,50,0,0,3,2,6,1,103
1236,3,7,0,0,8,6,0,8,0,0,5,7,0,2,19,0,5,1,71
1237,3,7,0,9,2,10,0,2,1,0,2,9,0,0,7,6,0,0,58
1238,1,5,0,5,1,12,0,2,1,2,8,23,0,1,4,3,3,1,72
1239,9,11,0,0,4,26,5,2,2,5,9,54,1,3,9,4,5,7,156
1240,3,4,0,1,4,12,0,3,0,0,6,12,0,0,9,0,2,0,56
1241,17,31,4,5,15,102,1,8,1,15,27,65,0,10,23,5,4,19,352
1242,44,73,8,16,25,222,38,14,13,9,126,344,2,19,41,22,17,10,1043
1243,21,57,9,19,96,180,1,42,3,14,47,118,7,14,91,13,20,17,769
1244,55,114,16,22,84,175,5,96,0,6,100,184,9,9,277,11,29,15,1207
1245,0,11,3,3,29,4,1,7,1,1,2,8,0,0,19,1,6,1,97
1246,45,115,34,52,142,188,3,108,6,38,65,144,15,18,208,16,40,53,1290
1247,1,9,0,4,7,5,0,4,3,1,3,15,0,0,9,2,4,2,69
1248,30,31,0,2,7,34,3,3,6,3,9,42,0,2,12,21,6,4,215
1249,0,7,1,1,20,1,0,5,1,0,3,8,0,0,10,1,6,0,64
1250,2,7,0,0,2,9,0,0,2,0,1,9,0,1,1,0,0,0,34
1251,1,3,0,2,1,26,0,3,1,2,7,18,0,1,5,1,1,0,72
1252,11,11,1,1,4,30,0,8,1,2,13,85,2,2,14,5,10,2,202
1253,2,1,1,0,3,46,0,2,1,4,8,46,0,1,3,0,4,4,126
1254,2,8,1,0,2,46,0,7,0,1,104,55,1,7,15,3,10,1,263
1255,10,23,3,9,15,77,1,15,1,7,38,169,2,7,24,8,9,7,425
1256,7,24,0,0,3,7,0,2,5,0,5,14,0,0,4,6,1,0,78
1257,2,9,6,0,11,20,0,41,1,2,9,16,0,2,22,0,2,7,150
1258,13,11,0,5,6,7,0,4,16,0,3,12,0,0,4,4,1,0,86
1259,1,12,1,18,21,12,0,10,2,1,5,18,2,2,16,1,5,1,128
1260,72,124,12,24,54,124,0,43,12,11,68,243,16,3,117,39,38,7,1007
1261,7,50,7,27,38,75,1,24,1,7,14,45,4,5,49,7,12,11,384
1262,12,21,3,5,10,92,0,10,1,0,15,72,2,3,23,2,15,0,286
1263,16,34,7,14,24,211,1,16,1,17,42,59,3,11,38,3,9,23,529
1264,63,156,27,52,127,201,15,98,10,24,123,280,16,19,197,37,62,37,1544
1265,17,38,29,9,54,190,0,38,3,15,63,120,1,11,40,9,8,40,685
1266,48,108,25,50,45,253,12,63,17,48,95,303,3,39,87,29,19,85,1329
1267,30,29,11,10,41,40,1,32,3,5,25,71,4,17,45,3,28,11,406
1268,17,31,4,16,25,61,3,17,8,3,24,93,10,7,37,13,25,4,398
1269,0,4,0,2,3,15,0,4,2,3,3,16,0,1,4,2,2,2,63
1270,0,8,0,3,8,4,0,4,0,1,2,18,0,0,6,0,1,0,55
1271,4,9,13,2,12,108,5,22,1,21,42,44,3,14,21,1,8,47,377
1272,21,35,17,4,54,114,1,57,5,26,41,88,3,12,91,8,22,36,635
1273,20,33,4,12,19,182,1,16,15,9,59,153,7,16,29,14,28,12,629
1274,54,88,20,31,68,135,11,72,22,21,71,277,28,35,104,30,49,30,1146
1275,0,5,1,1,5,3,0,6,0,0,8,17,1,0,6,1,18,0,72
1276,6,1,2,2,4,70,1,2,0,5,7,24,2,3,5,1,2,4,141
1277,0,12,0,31,1,10,0,1,0,0,1,5,0,1,2,2,1,0,67
1278,5,7,18,1,12,21,0,14,1,0,10,26,1,1,19,1,18,9,164
1279,16,37,8,6,44,115,3,37,3,6,76,197,4,8,61,10,24,19,674
1280,4,14,1,2,7,21,0,3,0,2,6,17,1,0,11,0,3,2,94
1281,10,13,2,4,7,29,0,3,2,1,14,115,1,16,14,4,10,5,250
1282,0,0,0,1,3,13,1,1,0,0,6,13,1,0,3,0,3,1,46
1283,5,8,2,4,6,17,0,6,0,12,12,15,0,8,6,0,3,15,119
1284,78,236,2,50,59,120,10,34,9,3,62,182,15,4,116,32,14,5,1031
1285,81,177,19,103,121,380,36,91,13,29,132,483,25,43,192,44,61,42,2072
1286,0,9,0,5,8,20,0,5,1,2,7,27,19,1,6,1,3,0,114
1287,12,22,1,2,5,30,3,4,1,5,8,44,0,0,19,2,5,3,166
1288,10,9,3,9,6,29,0,4,2,0,22,108,1,3,7,5,6,4,228
1289,3,2,3,1,8,4,0,19,0,0,6,19,1,1,18,0,10,2,97
1290,2,8,0,5,6,19,0,8,2,3,8,21,1,3,11,4,4,2,107
1291,16,27,6,13,19,98,6,13,3,8,52,157,2,20,20,9,15,12,496
1292,2,7,0,10,12,17,0,6,1,0,3,15,1,2,15,1,4,1,97
1293,5,7,1,1,1,49,1,2,3,4,9,26,1,1,2,2,4,2,121
1294,8,9,17,5,13,233,0,14,1,7,56,80,4,18,9,4,3,14,495
1295,10,14,0,0,2,3,0,0,23,0,5,20,0,0,2,8,2,0,89
1296,4,9,0,2,2,18,0,4,1,1,9,25,1,0,4,1,0,1,82
1297,71,111,12,29,113,186,12,59,9,32,38,155,5,14,118,18,15,33,1030
1298,32,87,26,39,85,216,4,105,6,27,73,230,11,35,136,13,38,80,1243
1299,45,50,6,51,67,63,0,43,5,38,16,42,3,17,100,9,15,27,597
1300,8,38,0,79,22,59,0,11,1,7,10,22,1,1,24,5,0,5,293
1301,30,58,18,12,45,87,1,41,5,19,72,132,4,17,89,10,27,26,693
1302,7,36,1,7,32,7,0,9,1,1,4,10,0,0,23,9,4,0,151
1303,63,138,18,74,106,246,11,79,12,12,91,244,13,16,153,30,32,17,1355
1304,13,23,12,4,25,26,0,21,1,0,8,23,1,1,50,4,7,2,221
1305,0,0,0,0,0,2,16,0,0,0,0,5,0,1,0,0,1,0,25
1306,58,97,16,29,109,163,9,64,11,20,64,149,5,12,135,17,28,16,1002
1307,0,7,1,1,5,5,0,3,1,1,3,6,0,1,9,1,4,3,51
1308,5,17,3,2,20,35,0,17,2,3,7,29,1,2,29,0,9,4,185
1309,1,3,1,2,4,9,1,3,0,1,6,5,0,0,7,1,3,1,48
1310,1,2,1,0,2,6,0,1,1,0,4,21,0,0,2,0,4,1,46
1311,23,24,31,9,56,53,0,71,1,23,19,38,9,31,71,3,21,59,542
1312,4,28,11,12,99,28,0,39,2,56,6,13,2,19,60,4,6,56,445
1313,3,12,0,2,6,3,0,3,0,0,4,11,0,0,17,2,4,0,67
1314,3,18,16,9,34,87,2,51,1,53,42,51,2,29,45,4,8,98,553
1315,8,18,2,3,4,27,2,6,8,1,22,49,0,4,8,13,12,2,189
1316,1,7,0,3,8,19,0,6,3,1,5,8,1,0,7,4,0,0,73
1317,49,137,32,65,121,279,10,104,9,33,108,279,22,36,176,24,38,81,1603
1318,2,5,2,2,2,7,0,4,0,1,1,7,0,0,6,0,2,1,42
1319,3,5,0,1,3,17,0,2,1,0,5,9,1,1,8,1,0,0,57
1320,24,45,2,4,28,14,0,21,2,0,10,31,2,1,99,5,11,0,299
1321,13,24,6,10,19,74,1,23,4,3,22,77,0,5,28,3,11,6,329
1322,21,21,12,4,31,182,1,58,8,23,63,143,21,61,48,27,30,37,791
1323,3,19,6,2,8,54,1,11,5,3,84,74,0,11,17,6,16,3,323
1324,7,24,1,11,11,28,2,8,5,2,7,49,0,6,12,6,10,4,193
1325,29,44,11,14,50,102,1,41,14,57,26,75,2,46,73,13,22,55,675
1326,3,10,2,0,3,12,0,2,0,0,9,19,0,0,7,1,3,0,71
1327,0,5,1,1,8,17,0,8,0,9,12,31,1,16,24,0,53,9,195
1328,10,38,6,5,41,17,0,42,1,1,13,23,2,1,118,4,23,1,346
1329,40,100,16,36,59,184,0,62,4,13,51,95,5,15,137,17,21,21,876
1330,4,6,2,0,1,11,1,7,4,2,3,17,8,1,8,4,5,3,87
1331,9,18,1,2,5,37,0,5,5,2,26,108,2,4,11,15,18,3,271
1332,2,2,0,2,1,26,0,3,0,2,3,9,1,1,5,0,2,2,61
1333,60,123,36,52,130,137,5,104,20,9,45,171,29,8,183,56,54,37,1259
1334,7,19,1,1,12,21,0,4,2,0,3,23,0,1,14,1,3,2,114
1335,20,47,6,21,33,103,9,22,10,9,31,158,4,8,32,11,11,4,539
1336,3,7,0,1,1,7,1,1,1,5,2,10,0,0,3,1,3,4,50
1337,0,0,7,3,4,17,0,11,0,32,1,13,1,19,2,0,1,55,166
1338,24,41,2,4,21,27,0,20,1,2,10,45,2,3,83,2,10,3,300
1339,17,47,5,4,24,117,1,41,2,1,36,42,4,10,74,14,18,13,470
1340,74,196,27,93,149,203,5,132,15,27,90,268,21,19,265,37,53,38,1712
1341,6,28,0,80,10,13,0,2,0,0,3,5,0,0,6,3,0,0,156
1342,9,33,1,63,17,11,0,7,0,0,7,13,0,0,33,5,4,0,203
1343,18,39,8,12,52,140,5,25,10,8,29,104,5,9,42,13,21,18,558
1344,7,5,9,3,16,29,0,12,0,15,5,31,0,11,12,1,3,26,185
1345,8,11,7,2,19,166,0,11,1,8,52,50,0,2,21,1,3,12,374
1346,5,9,1,5,5,10,0,4,3,1,1,7,0,0,10,3,1,0,65
1347,8,27,1,5,13,70,0,10,1,14,49,71,0,4,24,2,6,10,315
1348,1,11,10,2,8,57,0,22,0,44,16,25,0,37,11,3,6,76,329
1349,6,12,1,2,12,3,0,11,0,0,3,12,1,1,41,1,7,0,113
1350,6,20,1,3,10,47,0,13,1,2,32,50,0,2,31,11,8,5,242
1351,3,9,0,0,3,8,0,3,1,0,2,7,0,0,6,2,1,2,47
1352,27,26,1,2,16,32,4,7,7,2,7,102,2,2,24,4,15,0,280
1353,1,3,2,2,5,26,0,8,1,47,3,7,0,16,5,0,0,36,162
1354,48,129,31,36,67,264,5,86,6,28,157,259,14,54,134,21,28,50,1417
1355,3,7,1,0,1,18,1,3,1,1,40,29,0,8,2,1,9,2,127
1356,51,94,19,45,95,189,1,85,5,13,45,119,5,7,146,16,15,50,1000
1357,5,36,0,172,32,25,0,7,0,1,4,9,0,1,18,4,1,1,316
1358,14,80,9,20,118,38,0,68,4,3,15,30,7,4,175,8,16,5,614
1359,0,4,5,2,9,43,0,14,0,42,11,15,1,17,13,0,1,47,224
1360,8,17,5,6,38,33,0,21,2,5,9,50,2,5,31,1,11,8,252
1361,6,16,2,6,6,46,4,10,4,5,28,72,1,10,13,6,8,8,251
1362,14,52,9,12,106,49,3,45,6,6,16,70,3,5,70,11,15,7,499
1363,1,1,0,0,0,12,4,1,1,0,3,6,1,0,2,0,1,0,33
1364,3,6,0,26,7,17,9,2,0,1,2,9,1,3,8,1,0,3,98
1365,0,6,12,5,22,21,0,15,1,1,4,25,9,1,15,1,11,6,155
1366,5,40,3,29,16,51,0,12,2,9,18,37,1,1,33,2,3,8,270
1367,4,20,12,7,57,140,1,31,1,7,43,44,13,9,44,4,11,22,470
1368,1,3,1,0,2,27,0,4,1,0,20,20,0,3,5,1,4,2,94
1369,38,75,22,51,121,122,8,80,17,14,36,103,12,11,120,17,34,28,909
1370,13,46,2,37,28,36,0,13,9,3,12,38,1,4,41,4,7,4,298
1371,4,6,9,0,2,11,4,6,0,1,9,23,0,0,7,3,5,5,95
1372,1,21,2,10,21,12,0,10,0,3,2,9,0,0,23,1,5,2,122
1373,5,11,4,5,38,16,0,14,7,11,7,16,0,22,20,4,4,14,198
1374,24,15,3,1,3,19,0,2,2,0,11,89,1,1,9,5,8,4,197
1375,0,4,0,1,1,29,0,3,2,4,31,28,0,2,3,1,4,0,113
1376,7,22,0,5,8,18,0,5,1,5,14,56,0,3,13,4,5,3,169
1377,29,99,29,33,112,221,0,114,3,6,89,90,18,8,257,11,42,28,1189
1378,8,24,0,5,2,15,0,1,13,0,24,19,0,1,4,15,5,0,136
1379,0,2,0,4,5,15,0,2,0,1,4,12,0,4,1,0,1,2,53
1380,14,58,29,6,69,84,0,84,2,26,30,33,6,12,130,4,13,54,654
1381,5,10,1,3,3,41,2,2,2,6,7,28,0,1,10,1,4,5,131
1382,2,4,1,0,2,6,0,1,6,0,4,19,2,0,1,6,6,1,61
1383,45,108,13,42,52,362,3,50,15,21,185,349,14,49,93,32,40,34,1507
1384,1,7,0,0,8,5,0,5,1,1,1,7,0,1,13,1,3,1,55
1385,2,4,0,5,4,7,0,2,1,0,1,10,0,2,4,1,2,1,46
1386,4,7,4,3,9,38,0,11,2,21,12,29,1,11,9,2,3,14,180
1387,17,38,3,1,9,62,10,25,18,23,61,90,4,35,31,30,28,23,508
1388,8,46,0,1,7,7,0,4,2,0,2,14,0,0,18,7,1,0,117
1389,29,72,19,14,71,117,2,83,7,26,70,148,16,18,133,13,42,35,915
1390,22,61,6,21,32,120,2,33,2,8,58,112,6,7,87,6,13,10,606
1391,6,13,10,3,20,133,0,47,3,8,74,77,2,5,35,2,9,20,467
1392,18,45,17,15,60,72,0,44,5,3,24,90,11,4,84,8,34,13,547
1393,19,21,2,3,9,24,1,10,2,1,13,56,3,1,27,15,19,1,227
1394,1,3,1,6,6,9,0,1,0,1,3,11,0,4,5,2,1,2,56
1395,33,56,13,19,115,123,2,53,2,25,28,67,6,11,105,5,14,27,704
1396,14,24,17,18,30,113,1,26,3,7,32,56,1,9,25,5,13,12,406
1397,4,8,3,8,30,17,0,8,1,0,3,15,0,1,16,1,6,1,122
1398,3,11,0,4,5,4,0,3,6,0,3,18,1,1,3,16,3,0,81
1399,33,115,8,37,67,75,3,37,5,9,27,76,5,6,89,14,17,10,633
1400,10,12,0,0,4,17,3,2,2,1,6,32,2,0,8,2,3,1,105
1401,9,9,1,0,5,14,2,3,4,1,8,32,1,3,8,3,3,2,108
1402,5,10,2,1,4,14,0,5,1,3,9,24,0,4,10,4,3,6,105
1403,2,9,17,3,39,20,0,24,2,2,8,10,0,1,24,0,5,8,174
1404,21,22,5,9,20,263,1,22,18,11,51,87,2,15,34,9,42,25,657
1405,6,6,0,14,3,16,0,1,1,0,7,20,1,1,5,1,5,0,87
1406,4,1,1,0,1,4,0,1,0,0,3,16,0,0,3,0,1,2,37
1407,23,30,4,2,10,64,0,7,3,10,32,112,1,4,20,4,7,12,345
1408,18,60,0,16,28,16,12,26,0,0,8,27,1,1,111,7,11,1,343
1409,10,14,2,4,26,36,2,12,3,2,8,27,0,0,23,2,5,0,176
1410,3,16,3,13,18,18,0,12,0,5,7,20,1,3,18,5,5,9,156
1411,3,6,1,6,5,29,0,3,2,4,5,18,0,2,10,1,0,3,98
1412,8,7,0,2,4,7,0,6,1,1,0,9,0,0,10,2,0,1,58
1413,24,64,1,4,32,55,0,20,12,3,31,70,0,2,53,9,9,3,392
1414,8,32,1,3,21,12,0,28,0,1,9,7,1,0,73,1,9,2,208
1415,13,19,6,4,19,63,1,29,2,12,26,82,4,6,40,5,22,12,365
1416,0,2,1,3,3,9,0,2,0,1,3,9,0,0,2,0,0,1,36
1417,1,8,0,1,6,5,0,3,0,3,3,14,0,1,10,0,2,2,59
1418,20,83,15,26,106,70,1,80,1,6,30,48,5,4,193,6,12,18,724
1419,1,10,0,16,8,20,0,5,0,0,7,16,1,1,7,0,2,1,95
1420,35,87,24,36,49,63,2,45,5,2,30,95,19,5,95,12,22,11,637
1421,15,18,12,3,21,102,6,12,2,12,27,74,1,11,17,6,10,13,362
1422,36,88,25,75,113,287,1,117,6,51,78,204,28,41,162,16,54,117,1499
1423,6,6,0,3,2,66,1,1,0,4,8,32,1,2,3,1,2,1,139
1424,5,13,0,39,7,7,0,2,0,0,2,9,0,0,7,2,2,0,95
1425,37,121,37,52,96,335,7,93,12,52,96,224,7,45,139,28,25,106,1512
1426,30,72,19,15,55,130,2,60,6,35,60,132,12,27,123,14,28,57,877
1427,7,18,6,6,22,52,1,21,1,51,12,39,14,19,31,0,12,47,359
1428,2,9,0,10,13,12,0,9,2,2,6,15,0,6,6,0,4,3,99
1429,1,6,0,1,1,6,0,2,1,1,5,12,0,3,4,1,1,2,47
1430,17,21,1,4,15,67,1,6,1,3,10,39,0,1,18,4,6,2,216
1431,1,4,0,3,4,7,0,3,0,0,2,8,0,1,8,0,3,1,45
1432,2,6,0,2,9,15,0,5,2,4,4,9,0,0,8,2,1,1,70
1433,9,27,7,0,27,21,0,31,0,6,8,8,0,1,79,4,7,13,248
1434,12,35,17,38,59,181,0,47,0,14,41,31,1,11,62,6,6,63,624
1435,1,6,0,3,5,13,3,4,0,0,3,14,0,2,6,0,0,1,61
1436,2,15,1,2,4,23,0,5,2,1,10,33,0,0,8,5,3,1,115
1437,13,28,0,4,17,33,0,12,4,0,22,86,4,3,24,3,23,0,276
1438,1,10,1,4,10,22,0,4,0,4,2,10,1,2,7,0,0,10,88
1439,6,11,0,1,1,4,0,0,14,0,1,10,0,1,3,7,2,1,62
1440,14,22,4,10,27,34,1,11,2,2,10,80,2,3,30,3,17,3,275
1441,6,9,1,16,11,77,0,8,0,0,20,19,1,1,11,2,3,0,185
1442,8,24,7,9,66,25,0,25,2,47,12,52,0,22,38,1,5,44,387
1443,8,4,2,2,6,9,0,7,2,1,4,18,0,2,10,3,6,2,86
1444,3,7,0,4,4,10,0,2,0,0,4,11,0,0,8,2,2,0,57
1445,5,5,1,1,8,6,0,2,1,2,2,14,0,1,10,1,1,3,63
1446,15,16,1,7,9,37,1,4,15,0,7,39,4,4,9,7,8,2,185
1447,74,202,33,140,140,344,2,119,16,45,116,274,17,34,257,40,56,81,1990
1448,81,192,21,100,79,347,11,81,9,8,143,493,14,23,184,40,38,40,1904
1449,104,217,30,97,118,462,16,125,25,34,157,439,28,37,269,51,66,91,2366
1450,5,11,2,9,9,82,0,8,0,7,17,25,0,4,13,0,5,12,209
1451,45,111,22,55,105,202,7,96,8,34,118,319,21,34,178,26,68,46,1495
1452,1,5,0,0,3,9,0,1,1,0,1,11,1,0,1,1,1,0,36
1453,0,5,1,2,3,17,0,0,0,2,2,7,0,0,1,0,0,3,43
1454,0,2,1,0,2,3,0,3,0,0,6,13,1,0,9,0,15,0,55
1455,4,6,3,2,10,17,0,5,1,0,43,38,1,0,11,1,8,1,151
1456,6,6,0,0,1,6,1,0,0,0,1,12,0,0,10,0,2,0,45
1457,31,45,9,9,30,118,6,34,3,11,42,157,6,12,52,8,18,19,610
1458,8,13,2,7,13,46,0,8,4,17,7,33,0,7,9,2,8,13,197
1459,1,0,0,0,0,19,0,0,0,1,4,7,0,0,1,0,1,2,36
1460,0,4,0,2,4,13,0,4,0,1,4,11,1,2,7,0,6,3,62
1461,4,14,0,15,8,11,0,4,3,0,3,17,0,3,6,11,2,0,101
1462,0,6,0,3,9,17,1,6,0,2,5,11,0,5,10,0,4,3,82
1463,4,23,5,4,60,33,0,29,0,1,45,33,2,0,47,1,7,3,297
1464,7,27,8,1,20,26,0,24,2,1,17,21,5,1,72,4,25,3,264
1465,39,95,10,53,72,138,1,72,9,14,79,262,23,41,138,27,59,24,1156
1466,33,61,7,6,45,101,1,53,1,6,40,52,5,3,151,7,19,10,601
1467,3,22,0,4,12,30,0,6,0,3,4,36,0,2,17,3,1,2,145
1468,16,47,3,4,26,13,0,28,0,1,8,19,1,1,98,3,11,1,280
1469,1,1,0,0,1,28,0,1,0,2,7,6,1,1,2,1,3,1,56
1470,38,103,13,67,70,246,25,61,7,16,85,277,12,18,123,16,32,34,1243
1471,0,6,1,2,5,9,0,3,0,0,0,13,0,0,8,0,2,0,49
1472,22,57,20,8,54,33,0,70,0,10,35,58,5,17,175,5,21,17,607
1473,22,63,6,14,53,39,1,62,2,1,26,56,10,3,199,8,27,4,596
1474,4,19,4,11,47,32,2,19,2,7,10,58,1,12,32,3,9,9,281
1475,10,8,0,1,2,24,0,3,0,0,53,51,1,1,10,1,10,1,176
